Code,Description,Old_Rate,Revised_Rate
01-01-009,Cure Attain for 3 Hrs.,966.0,1150.0
01-01-010,Cure Attain for 6 Hrs.,1945.0,2330.0
01-01-011,Cure Attain for 9 Hrs.,2885.0,3460.0
01-01-012,EMERGENCY SERVICE,824.0,980.0
01-01-013,OXYGEN 12 hr,4353.0,5220.0
01-01-014,OXYGEN 24 hr,8720.0,10460.0
01-01-015,VACCINATIONS WITH SYRINGE,129.0,150.0
01-01-017,CATHATERISATION,618.0,740.0
01-01-018,NEBULISATION (With New KIT),502.0,600.0
01-01-021,BLOOD PRESSURE,103.0,120.0
01-01-022,BLOOD SUGAR,348.0,410.0
01-01-023,BLOOD TRANSFUSSION,1816.0,2170.0
01-01-024,C.T.G.,850.0,1020.0
01-01-025,Change of Colostomy Bag,850.0,1020.0
01-01-026,COLLIES OR SMITH,2885.0,3460.0
01-01-030,DRESSING LARGE,1043.0,1250.0
01-01-031,DRESSING MEDIUM,824.0,980.0
01-01-032,DRESSING SMALL,696.0,830.0
01-01-033,DRESSING-OT,1984.0,2380.0
01-01-034,DRIP,502.0,600.0
01-01-035,E.C.G.,592.0,710.0
01-01-038,EX-BLOOD TRANSFUSSION,6582.0,7890.0
01-01-039,FOLEYS CATHETER,592.0,710.0
01-01-040,1. V. CANULA,270.0,320.0
01-01-042,INJECTION (I/M) WITH SYRINGE,142.0,170.0
01-01-043,INJECTION (I/V) WITH SYRINGE,245.0,290.0
01-01-044,KLEEN ENEMA (Without ENEMA),618.0,740.0
01-01-045,NEBULISATION (With Personal KIT),270.0,320.0
01-01-047,NG TUBE,747.0,890.0
01-01-048,OXYGEN 1 hr,386.0,460.0
01-01-049,OXYGEN 1/2 hr,219.0,260.0
01-01-050,PARACENTASIS,1340.0,1600.0
01-01-057,STITCH REMOVING,142.0,170.0
01-01-058,STITCHING (1 Stitch),270.0,320.0
01-01-059,STITCHING (2 Stitch),502.0,600.0
01-01-060,STITCHING (5 Stitch),966.0,1150.0
01-01-062,Suctioning Procedure,361.0,430.0
01-01-064,TRINGULAR BANDAGE,219.0,260.0
01-01-156,SURGICAL SAFETY GOWN,1777.0,2130.0
01-01-157,DISPOSABLE GOWN,425.0,510.0
01-01-158,ANTENATAL REGISTRATION,1236.0,1480.0
01-01-160,BIRTH CIRTIFICATE,592.0,710.0
01-01-162,DEATH CERTIFICATE,258.0,300.0
01-01-163,DUPLICATE ATTENDANT CARD,258.0,300.0
01-01-164,DUPLICATE PAYMENT SLIP,77.0,90.0
01-01-165,EEG Test,5667.0,6800.0
01-01-168,HOSPITAL/SERVICE CHARGES,322.0,380.0
01-01-169,MEDICAL CERTIFICATE,592.0,710.0
01-01-171,PHOTOSTATE,64.0,70.0
06-01-001,ELECTROTHERAPY & PHYSIOTHERAPY,631.0,750.0
06-01-002,PHYSIOTHERAPY (E),631.0,750.0
06-01-003,PHYSIOTHERAPY (M),631.0,750.0
06-01-004,PHYSIOTHERAPY (N),631.0,750.0
11-01-020,POP BACK SLAB LARGE,4173.0,5000.0
13-01-035,ENDOSCOPIC BIOPSY,2782.0,3330.0
13-01-036,ENDOSCOPY,10471.0,12560.0
13-01-058,MINOR LA (O.P.D),6801.0,8160.0
210,Dialysis,,5250.0
01-01-027,CPR+ Defibrillations,2000.0,2400.0
01-01-037,Endotracheal Intubation (ETT),1391.0,1660.0
01-01-041,I/V Infusion,245.0,290.0
01-01-046,NEBULISATION with Oxygen (Personal KIT),350.0,420.0
01-01-051,Removal of Catheter,300.0,360.0
01-01-052,Removal of Dressing,200.0,240.0
01-01-053,REMOVAL OF MAJOR FOREIGN BODIED FORM THE LIMBS,4620.0,5540.0
01-01-054,REMOVAL OF SMALL FOREIGN BODIED OF LIMBS,2600.0,3120.0
01-01-055,REMOVAL OF STITCHES OF POST-OPERATIVE PATIENTS,1550.0,1860.0
01-01-056,REMOVAL OF STITCHES PLUS RE-POP BACKSLAB OF LIMBS,4620.0,5540.0
01-01-061,Stitching (5 Plus),1320.0,1580.0
01-01-063,Tracheostomy Maintenance,650.0,780.0
01-01-178,C-Arm Charges,5000.0,6000.0
06-01-005,CERVICAL PAIN MANAGEMENT,440.0,520.0
06-01-006,CP CHILD REHABILITATION,440.0,520.0
06-01-007,LUMBER PAIN MANAGEMENT,440.0,520.0
06-01-008,MUSCLE STRENGTH TREATMENT,440.0,520.0
06-01-009,PAIN MANAGEMENT & JOINT MOBILIZATION,440.0,520.0
06-01-010,REHABILITATION FOR CVA PATIENT,440.0,520.0
10-01-001,ALVEOPLASTY,4766.0,5710.0
10-01-002,CAST METAL DENTURE,33515.0,40210.0
10-01-004,COMPLETE DENTURE,33952.0,40740.0
10-01-006,COMPLICATED SURGERY,5667.0,6800.0
10-01-007,CROWN PORCELAIN,7934.0,9520.0
10-01-008,CROWN PORCELAIN (PER VISIT),3000.0,3600.0
10-01-009,DENTAL,824.0,980.0
10-01-010,DENTAL (2nd VISIT),219.0,260.0
10-01-011,DENTAL DRESSING,451.0,540.0
10-01-012,DENTAL IMPLANT,140263.0,168310.0
10-01-013,DENTAL SCREW POST PIN,2409.0,2890.0
10-01-014,Denture Repair,2400.0,2880.0
10-01-015,Die Cutting Crown,8700.0,10440.0
10-01-016,EXTRACTION ANTERIOR TEETH,696.0,830.0
10-01-017,EXTRACTION POSTERIOR TEETH,927.0,1110.0
10-01-018,FILLING AMALGUM,1249.0,1490.0
10-01-019,FILLING COMPOSITE,2293.0,2750.0
10-01-020,FILLING LIGHT CURE,1829.0,2190.0
10-01-021,Flexible Full Denture,73150.0,87780.0
10-01-022,Flexible Per Tooth,4000.0,4800.0
10-01-023,GINGIVECTOMY,4766.0,5710.0
10-01-024,JACKET CROWN (ACRILIC PLASTIC),1984.0,2380.0
10-01-025,METAL CROWN,4791.0,5740.0
10-01-026,METAL CROWN PARTIAL,2409.0,2890.0
10-01-027,NIGHT GUARD HARD,5667.0,6800.0
10-01-028,NIGHT GUARD SOFT,6801.0,8160.0
10-01-029,ONLAY,2409.0,2890.0
10-01-030,Ortho Appliances,18150.0,21780.0
10-01-031,ORTHODONTIC BRACES TREATMENT,21819.0,26180.0
10-01-032,ORTHODONTIC BRACES VISIT,5023.0,6020.0
10-01-033,PAEDO Procedure,48000.0,57600.0
10-01-034,PARTIAL DENTURE,1300.0,1560.0
10-01-035,PROCELAIN FUSED TO METAL CROWN (PER UNIT),5422.0,6500.0
10-01-036,PROCELAIN FUSED TO METAL CROWN (PER UNIT) PARTIAL,2731.0,3270.0
10-01-037,PULPECTOMY (1/3 INSTALLMENT OF RS. 1920),1211.0,1450.0
10-01-038,PULPOTOMY (1/3 INSTALLMENT OF RS. 1920),1211.0,1450.0
10-01-042,Re-Cementation Crown Per Tooth,950.0,1140.0
10-01-043,REMOVABLE WIRE BRACES (RETAINER),11322.0,13580.0
10-01-044,RETAINER SIMPLE,10201.0,12240.0
10-01-045,RETAINER WITH CHANGES,15855.0,19020.0
10-01-046,ROOT CANAL TREATMENT,7174.0,8600.0
10-01-047,ROOT CANAL TREATMENT (MULTI ROOTED),7174.0,8600.0
10-01-050,SCALING GUM TREATMENT,4302.0,5160.0
10-01-051,SCALING + POLISHING,2743.0,3290.0
10-01-053,SILVER FILLING,1249.0,1490.0
10-01-054,SIMPLE EXTRACTION,477.0,570.0
10-01-056,SURGICAL EXTRACTION,3400.0,4080.0
10-01-057,TEETH WHITENING,35665.0,42790.0
10-01-058,TEMPORARY FILLING,824.0,980.0
10-01-059,VENEERS,37404.0,44880.0
10-01-060,Wisdom Tooth Extract (Minor G/A),21800.0,26160.0
10-01-061,Wisdom Tooth Extract (Minor L/A),13900.0,16680.0
10-01-062,X-RAY,477.0,570.0
10-01-064,Zarconia Crown Installment,14600.0,17520.0
10-01-065,ZIRCONIA CROWN,37404.0,44880.0
11-01-002,ABOVE ELBOW,2743.0,3290.0
11-01-003,ABOVE KNEE,3336.0,4000.0
11-01-004,ANKLE & FOOT,1842.0,2210.0
11-01-005,ASPIRATION OF BLOOD KNEE JOINT WITH POP CYLINDER BACKSLAB LEG AND THIGH,4600.0,5520.0
11-01-006,BELOW ELOBOW,2743.0,3290.0
11-01-007,BELOW KNEE,2743.0,3290.0
11-01-008,BOOT SHAPE,3336.0,4000.0
11-01-009,EXCISION OF INFECTED INGROWIN TOA NAIL +DEBRIDEMENT OF NAIL BED MARGIN,4600.0,5520.0
11-01-010,EXCISION OF INGROWIN TOE NAIL,2600.0,3120.0
11-01-011,FOOT & KNEE,5487.0,6580.0
11-01-012,FRACTURE OF FINGER BONE + STRAPPING + COCKUP SPRINT POP,2600.0,3120.0
11-01-013,HANGING CAST (U.SLING FOR HUMEROUS),2524.0,3020.0
11-01-014,HIP SPICA,5487.0,6580.0
11-01-015,I/A INJECTION (INTER ARTICULAR),2808.0,3360.0
11-01-016,JOINT ASPIRATION,2808.0,3360.0
11-01-017,LONG WOUND DEBRIDEMENT + CURATE WOUND BED,4600.0,5520.0
11-01-018,MAINPULATION OF FRACTURES + POP BACKSLAB,2600.0,3120.0
11-01-019,MAINPULATION OF MAJOR FRACTURES + POP BACKSLAB,4600.0,5520.0
11-01-021,POP BACK SLAB SMALL (PLASTER OF PARIS),2808.0,3360.0
11-01-022,POP CAST,5564.0,6670.0
11-01-023,POP Removing For Outside Patients,592.0,710.0
11-01-024,POP WITHOUT MATERIAL,1687.0,2020.0
11-01-025,RADIUS & ULNA,2743.0,3290.0
11-01-026,SMALL WOUND DEBRIDEMENT + CURATE OF LIMBS,2600.0,3120.0
12-01-001,BIOPSY SKIN UNDER LA (PUNCH),4791.0,5740.0
12-01-002,BOTOX/DERMAL FILLERS,18150.0,21780.0
12-01-003,CAUTERY (MAJOR),2900.0,3480.0
12-01-004,CAUTERY (MAJOR) MULTIPLE,7260.0,8710.0
12-01-005,"CAUTERY FOR REMOVAL OF SKIN TAGS, WARTS AND MOLES",2900.0,3480.0
12-01-006,CAUTERY MULTIPLES,2924.0,3500.0
12-01-007,CAUTERY SOLITARY LESION,1443.0,1730.0
12-01-008,CHEMICAL CAUTERISATION,2409.0,2890.0
12-01-009,COMEDONE EXTRACTION,696.0,830.0
12-01-010,CORN REMOVAL,2293.0,2750.0
12-01-011,ELECTROLYSIS (PER SITTING/VISIT),1829.0,2190.0
12-01-012,ENUCLETION OF MOLLUSCUM,4791.0,5740.0
12-01-013,EXCISIAN BIOPSY SKIN UNDER LA,14387.0,17260.0
12-01-014,FACIAL REJUVENATION,9518.0,11420.0
12-01-015,HIFU FACE,6600.0,7920.0
12-01-016,HIFU FACE & NECK,13300.0,15960.0
12-01-017,HIFU NECK,10000.0,12000.0
12-01-018,HYDRAFACIAL CAT-A PER SESSION,6050.0,7260.0
12-01-019,HYDRAFACIAL CAT-B PER SESSION,4600.0,5520.0
12-01-020,HYDRAFACIAL CAT-C PER SESSION,3400.0,4080.0
12-01-021,& D LARGE,1100.0,1320.0
12-01-022,1 & D SMALL,670.0,800.0
12-01-023,IN GROWING TOE NAIL (MAJOR),7300.0,8760.0
12-01-024,IN GROWING TOE NAIL (MINOR),3600.0,4320.0
12-01-025,INTRA LESIONAL INJECTION MULTIPLE SITES,4791.0,5740.0
12-01-026,LASER HAIR REMOVAL (Per Session),2900.0,3480.0
12-01-027,LASER HAIR REMOVAL CHIN,7148.0,8570.0
12-01-028,LASER HAIR REMOVAL FULL ARMS,16667.0,20000.0
12-01-029,LASER HAIR REMOVAL FULL FACE,11927.0,14310.0
12-01-030,LASER HAIR REMOVAL FULL LEGS,19024.0,22820.0
12-01-031,LASER HAIR REMOVAL HALF ARMS,11927.0,14310.0
12-01-032,LASER HAIR REMOVAL HALF FACE,9518.0,11420.0
12-01-033,LASER HAIR REMOVAL HALF LEGS,14284.0,17140.0
12-01-034,LASER HAIR REMOVAL UNDER ARMS,7148.0,8570.0
12-01-035,LASER HAIR REMOVAL UPPER LIP,4766.0,5710.0
12-01-036,LASER SKIN REJUVENATION (FULL CHEEKS),4400.0,5280.0
12-01-037,LASER SKIN REJUVENATION (FULL FACE),5850.0,7020.0
12-01-039,MICRODERMABRASION/DERMA ROLLER,7300.0,8760.0
12-01-040,MILIA REMOVAL,1159.0,1390.0
12-01-041,P/D PEN FRECKLES,3594.0,4310.0
12-01-042,P/D PEN MILIA,2396.0,2870.0
12-01-043,P/D PEN MOLE,4766.0,5710.0
12-01-044,P/D PEN MOLE MULTIPLE,7148.0,8570.0
12-01-045,P/D PEN SKIN TAG,2396.0,2870.0
12-01-046,P/D PEN SKIN TAG MULTIPLE,3594.0,4310.0
12-01-047,P/D PEN SYRINGOMAS,3594.0,4310.0
12-01-048,P/D PEN WARTS REMOVAL,2396.0,2870.0
12-01-049,P/D PEN WARTS REMOVAL MULTIPLE,3594.0,4310.0
12-01-050,PEELING OF FACE (PER SITTING) FULL,4791.0,5740.0
12-01-051,PEELING OF FACE (PER SITTING) HALF,3594.0,4310.0
12-01-052,PEELING OF FACE (PER SITTING) QUARTER,2409.0,2890.0
12-01-053,PRP FOR FACE & HAIR (Per Session),10600.0,12720.0
12-01-056,PRP HAIR THERAPY,18300.0,21960.0
12-01-057,SIMPLE EXTRACTION,477.0,570.0
12-01-058,WHITENING INJECTION,8800.0,10560.0
12-01-059,Intra Lesiamal Therapy,2537.0,3040.0
13-01-012,Arteriovenous Fistula,33200.0,39840.0
13-01-013,Arteriovenous Fistula (Deserving Patients),13300.0,15960.0
13-01-014,ASPIRATION+ BIOPSY,3349.0,4010.0
13-01-015,ASPIRATION CHEST DIAGNOSTIC,1159.0,1390.0
13-01-016,ASPIRATION FLUID BLOOD KNEE JOINT+INTRA ARTICULAR INJ,2550.0,3060.0
13-01-017,ASPIRATION OF FLUID (ASCITIES),1765.0,2110.0
13-01-018,BANDING/SCLEROTHERAPY,11012.0,13210.0
13-01-021,CIRCUMCISION (1 to 2 Years),5390.0,6460.0
13-01-022,CIRCUMCISION (2 to 5 Years),6600.0,7920.0
13-01-023,CIRCUMCISION (Less Than 1 Year),3950.0,4740.0
13-01-024,CIRCUMCISION PRIVATE (1 to 2 Years),7370.0,8840.0
13-01-025,CIRCUMCISION PRIVATE (2 to 5 Years),8700.0,10440.0
13-01-026,CIRCUMCISION PRIVATE (Less Than 1 Year),6050.0,7260.0
13-01-027,COLONOSCOPY,15400.0,18480.0
13-01-028,COST OF BAND,27409.0,32890.0
13-01-029,DRESSING (BURN OT),5242.0,6290.0
13-01-030,DRESSING (LARGE),1043.0,1250.0
13-01-031,DRESSING (MEDIUM),824.0,980.0
13-01-032,DRESSING (SMALL),696.0,830.0
13-01-034,EAR SUCTION,283.0,330.0
13-01-038,ENDOSCOPY BIOPSY,11901.0,14280.0
13-01-039,ENDOSCOPY + DILATION,29040.0,34840.0
13-01-040,ENDOSCOPY SCLEROTHERAPY FOR FUNDAL VARICES,26620.0,31940.0
13-01-042,GASTROSCOPY + DILATION,19970.0,23960.0
13-01-043,I/V Infusion,300.0,360.0
13-01-044,IM (Injection I/M),100.0,120.0
13-01-045,INJECTION (INTRAARTICULAR),1765.0,2110.0
13-01-046,INTRA ARTICULAR INJECTION MAJOR JOINTS,2600.0,3120.0
13-01-047,INTRA ARTICULAR INJECTION MINOR JOINTS,1550.0,1860.0
13-01-048,Intra Uterine Device,1236.0,1480.0
13-01-049,LOCAL INJECTION OF TENDON SHEETH,1550.0,1860.0
13-01-050,LUMBO PUNCTURE,2640.0,3160.0
13-01-051,MAJOR L/A PROCEDURE,3259.0,3910.0
13-01-052,MAJOR LA (Dressing) ORTHO,6801.0,8160.0
13-01-053,MEDICAL EXAMINATION FOR DISABILITY,650.0,780.0
13-01-054,MEDIUM L/A PROCEDURE,2615.0,3130.0
13-01-055,MEDIUM LA (Dressing) ORTHO,4212.0,5050.0
13-01-056,MINOR L/A PROCEDURE,1958.0,2340.0
13-01-057,MINOR LA (Dressing) ORTHO,2640.0,3160.0
13-01-059,MINOR LA (O.P.D)-Ortho,3259.0,3910.0
13-01-060,MINOR LA O.P.D (NEURO),11901.0,14280.0
13-01-062,NEBULISATION with Oxygen (Personal KIT),400.0,480.0
13-01-063,Nova Ject Injection,451.0,540.0
13-01-064,OPD CONSULTANCY DRESSING,786.0,940.0
13-01-065,OT Charges For PRP Injection,11322.0,13580.0
13-01-066,PEDOGRAPH,700.0,840.0
13-01-067,PEG,59441.0,71320.0
13-01-068,PFT/LUNG FUNCTION,1765.0,2110.0
13-01-069,PNEUMATIC ESOPHAGEAL DILATION,33200.0,39840.0
13-01-071,POLYPECTOMY,11927.0,14310.0
13-01-072,POST OPERATIVE DRESSING,2640.0,3160.0
13-01-073,POST OPERATIVE DRESSING ORTHO,2190.0,2620.0
13-01-074,PROCTOSCOPY,2640.0,3160.0
13-01-075,Psychiatrist/Psychologist Session,400.0,480.0
13-01-076,Random Blood Sugar (RBS),240.0,280.0
13-01-077,REMOVAL OF FOREIGN BODY,13000.0,15600.0
13-01-078,REMOVAL OF POLYP,16000.0,19200.0
13-01-079,SCLEROTHERAPY,21419.0,25700.0
13-01-081,SLINGS,142.0,170.0
13-01-082,SPINAL TAP,1945.0,2330.0
13-01-083,STOMACH LEVAGE (WITH NG TUBE) FOR AFB,1340.0,1600.0
13-01-084,STOMACH WASH,824.0,980.0
13-01-085,TRANSFORAMINAL EPIDURAL STEROID INJECTION,8700.0,10440.0
13-01-086,VACCINATION,142.0,170.0
13-01-088,Vacuum Dressing Large Wounds,11231.0,13470.0
13-01-089,Vacuum Dressing Small Wounds,7483.0,8970.0
13-01-090,VARICOSE VEIN Injection Sclerotherapy,33000.0,39600.0
13-01-091,VARICOSE VEIN Injection Sclerotherapy (With Medicines),40000.0,48000.0
13-01-093,SIGMOIDOSCOPY,10000.0,12000.0
13-01-094,SIGMOIDOSCOPY + BIOPSY,12000.0,14400.0
13-01-095,COLONOSCOPY + BIOPSY,17500.0,21000.0
13-01-096,FDL Procedure 01,2750.0,3300.0
13-01-097,FDL Procedure 02,5000.0,6000.0
13-01-099,DL CATHETER,4000.0,4800.0
02-01-001,ANOMALY SCAN,2396.0,2870.0
02-01-002,APPENDIX U/S + RIF,2331.0,2790.0
02-01-003,BRAIN,2396.0,2870.0
02-01-004,BREAST,2885.0,3460.0
02-01-005,CHEST,2177.0,2610.0
02-01-006,FWB/OBSTETRIC ULTRASOUND,1597.0,1910.0
02-01-007,GALL BLADDER,1945.0,2330.0
02-01-008,GUIDED ASPIRATION LIVER ABCESS,4778.0,5730.0
02-01-009,GUIDED ASPIRATION OVARIAM CYST,4778.0,5730.0
02-01-010,GUIDED ASPIRATION PANCREATIC CYST,4778.0,5730.0
02-01-011,GUIDED ASPIRATION PLURAL FLUID - CHEST,5989.0,7180.0
02-01-012,GUIDED ASPIRATION RENAL CYST,4778.0,5730.0
02-01-013,GUIDED PROCEDURES BIOPSY,6852.0,8220.0
02-01-014,GUIDED PUNCTURE OF CATHER BALLOON,2653.0,3180.0
02-01-015,KUB,2396.0,2870.0
02-01-016,KUB & PROSTATE,2885.0,3460.0
02-01-017,KUB PELVIS,2885.0,3460.0
02-01-018,LIMITED ULTRASOUND (SINGLE ORGAN),1275.0,1530.0
02-01-019,LIPOMA (Swelling of any reagion),1945.0,2330.0
02-01-020,LIVER & GALL BLADDER (GB),2177.0,2610.0
02-01-021,LOWER ABDOMEN,2640.0,3160.0
02-01-022,PATENCY OF VESSELS (LEGS FOR DVT),4560.0,5470.0
02-01-023,PELVIS,1597.0,1910.0
02-01-024,PORTABLE ULTRASOUND CHARGES,927.0,1110.0
02-01-025,PROSTATE,2074.0,2480.0
02-01-026,SWELLING OF ANY REGION WITH DOPLER,4302.0,5160.0
02-01-027,THYROID,2885.0,3460.0
02-01-028,TRANS-VAGINAL SCAN (TVS),3684.0,4420.0
02-01-029,TRANSRECTAL U/S FOR PROSTATE (TRUS),4083.0,4890.0
02-01-030,U/S Bladder,1636.0,1960.0
02-01-031,U/S FAST FOR TRAUMA,1674.0,2000.0
02-01-032,U/S GUIDED AMNIOCENTASIS,3684.0,4420.0
02-01-033,U/S GUIDED ASCITIC TAP,5989.0,7180.0
02-01-034,U/S GUIDED BIOPSY. (LIVER / MASS),8269.0,9920.0
02-01-035,U/S GUIDED LIVER ABSCESS ASPIRATION,8269.0,9920.0
02-01-036,U/S GUIDED PICC LINE PLACEMENT. (WITHOUT KIT),30951.0,37140.0
02-01-037,U/S GUIDED PIGTAIL CATHETER PLACEMENT. (WITHOUT KIT),10343.0,12410.0
02-01-038,U/S HIP JOINT,1945.0,2330.0
02-01-039,U/S SPINE FOR NEONATE/INFANTS,3117.0,3740.0
02-01-040,UPPER ABDOMEN,2640.0,3160.0
02-01-041,WHOLE ABDOMEN & PELVIC,3851.0,4620.0
05-01-001,Exercise Tolerance Test - ETT,3203.0,3840.0
03-01-001,(R) LATERAL PITUITARY FOSSA (ONE VIEW),966.0,1150.0
03-01-002,ABDOMEN AP/LATERAL VIEW,1945.0,2330.0
03-01-003,ABDOMEN DECUBITUS,966.0,1150.0
03-01-004,ABDOMEN ERECT,966.0,1150.0
03-01-005,ABDOMEN ES,1945.0,2330.0
03-01-006,ABDOMEN LEFT LATERAL,966.0,1150.0
03-01-007,ABDOMEN RIGHT LATERAL,966.0,1150.0
03-01-008,ABDOMEN SUPINE X-RAY,966.0,1150.0
03-01-009,ANKLE AP VIEW,966.0,1150.0
03-01-010,ANKLE AP/LAT,1468.0,1760.0
03-01-011,ANKLE LEFT AP LATERAL,1468.0,1760.0
03-01-012,ANKLE RIGHT AP LATERAL VIEW,1468.0,1760.0
03-01-013,ANTEGRADE PYELOGRAM,8205.0,9840.0
03-01-014,ARM LEFT AP LATERAL,1945.0,2330.0
03-01-015,ARM LEFT AP VIEW,966.0,1150.0
03-01-016,ARM RIGHT AP LATERAL,1945.0,2330.0
03-01-017,ARM RIGHT AP VIEW,966.0,1150.0
03-01-018,Ba FOLLOW THROUGH,10549.0,12650.0
03-01-019,Ba. ENEMA D/C,8205.0,9840.0
03-01-020,Ba. ENEMA S/C,5204.0,6240.0
03-01-021,Ba. GG F/T,16577.0,19890.0
03-01-022,Ba. MEAL,5487.0,6580.0
03-01-023,Ba. MEAL F/T,7290.0,8740.0
03-01-024,Ba. SWALLOW,5049.0,6050.0
03-01-025,Ba. SWALLOW/MEAL,9724.0,11660.0
03-01-026,Ba. SWALLOW/MEAL/F/T,12828.0,15390.0
03-01-027,BABY GRAM,1404.0,1680.0
03-01-028,BASE OF SKULL,966.0,1150.0
03-01-029,BOTH HIP JOINT AP/LAT (TWO VIEW),1945.0,2330.0
03-01-030,C-Arm (X-ray) Image Intensifier (for Med/Maj Sur.),6852.0,8220.0
03-01-031,CArm -(X-ray) Image Intensifier (for Minor Sur.),3684.0,4420.0
03-01-032,CALCANIUM AP/LATERAL,1468.0,1760.0
03-01-033,CERVICAL SPINE ADDITIONAL,966.0,1150.0
03-01-034,CERVICAL SPINE AP/LATERAL,1945.0,2330.0
03-01-035,CERVICAL SPINE FLEXION/EXTENSION,1945.0,2330.0
03-01-036,CERVICAL SPINE OBLIQUE BOTH VIEW,1945.0,2330.0
03-01-037,CHEST AP LATERAL,1945.0,2330.0
03-01-038,CHEST AP VIEW,966.0,1150.0
03-01-039,CHEST APICAL/LORDOTIC,966.0,1150.0
03-01-040,CHEST LEFT LATERAL,966.0,1150.0
03-01-041,CHEST LEFT LATERAL DECUBITUS,966.0,1150.0
03-01-042,CHEST OBLIQUE VIEW,966.0,1150.0
03-01-043,CHEST P.A. VIEW,966.0,1150.0
03-01-044,CHEST PORTABLE,1236.0,1480.0
03-01-045,CHEST RIGHT LATERAL,966.0,1150.0
03-01-046,CLAVICLE,966.0,1150.0
03-01-047,CYSTOGRAM,7290.0,8740.0
03-01-048,DORSAL LUMBER SPINE AP LAT,1945.0,2330.0
03-01-049,DORSAL SPINE AP/LAT,1945.0,2330.0
03-01-050,DORSAL SPINE LATERAL VIEW,966.0,1150.0
03-01-051,DORSAL SPINE OBLIQUE,966.0,1150.0
03-01-052,ELBOW JOINT AP VIEW,966.0,1150.0
03-01-053,ELBOW JOINT LAT VIEW,966.0,1150.0
03-01-054,ELBOW JOINT LEFT AP/LATERAL,1468.0,1760.0
03-01-055,ELBOW JOINT RIGHT AP/LATERAL,1468.0,1760.0
03-01-056,ELBOW PORTABLE,1404.0,1680.0
03-01-057,FACE LATERAL VIEW,966.0,1150.0
03-01-058,FACE PA LATERAL VIEW,1945.0,2330.0
03-01-059,FACE PA VIEW,966.0,1150.0
03-01-060,FEMUR AP VIEW,966.0,1150.0
03-01-061,FEMUR LAT VIEW,966.0,1150.0
03-01-062,FEMUR LATERAL AP LATERAL,1945.0,2330.0
03-01-063,FEMUR RIGHT AP LATERAL,1945.0,2330.0
03-01-064,FINGERS AP/LAT,1468.0,1760.0
03-01-065,FISTULOGRAM,6852.0,8220.0
03-01-066,FOOT AP VIEW,966.0,1150.0
03-01-067,FOOT LAT VIEW,966.0,1150.0
03-01-068,FOOT LT AP LATERAL VIEW,1945.0,2330.0
03-01-069,FOOT LT PORTABLE,1159.0,1390.0
03-01-070,FOOT RIGHT PORTABLE,1159.0,1390.0
03-01-071,FOOT RT AP LATERAL VIEW,1945.0,2330.0
03-01-072,FOREARM AP VIEW,966.0,1150.0
03-01-073,FOREARM LAT VIEW,966.0,1150.0
03-01-074,FOREARM LT AP LATERAL,1945.0,2330.0
03-01-075,FOREARM RT AP LATERAL,1945.0,2330.0
03-01-076,FRONTO OCCAPITAL VIEW,966.0,1150.0
03-01-077,GASTROGRAFIN LOOPGRAM,10021.0,12020.0
03-01-078,GASTROGRAFIN MEAL/F.T,11437.0,13720.0
03-01-079,GASTROGRAFIN SWALLOW,7290.0,8740.0
03-01-080,HAND LT AP LATERAL VIEW,1468.0,1760.0
03-01-081,HAND RIGHT AP/LAT VIEW,1468.0,1760.0
03-01-082,HEEL AP VIEW,966.0,1150.0
03-01-083,HEEL LAT VIEW,966.0,1150.0
03-01-084,HEEL LT AP/LATERAL VIEW,1468.0,1760.0
03-01-085,HEEL RIGHT AP/LATERAL VIEW,1468.0,1760.0
03-01-086,HIP AP VIEW,966.0,1150.0
03-01-087,HIP JOINT LT AP LATERAL,1945.0,2330.0
03-01-088,HIP JOINT RIGHT AP/LATERAL,1945.0,2330.0
03-01-089,HIP LATERAL VIEW,966.0,1150.0
03-01-090,HUMEROUS AP PORTABLE,1468.0,1760.0
03-01-091,HUMEROUS AP/VIEW,966.0,1150.0
03-01-092,HUMEROUS LAT PORTABLE,1468.0,1760.0
03-01-093,HUMEROUS LAT/VIEW,966.0,1150.0
03-01-094,HUMEROUS LEFT AP/LATERAL,1945.0,2330.0
03-01-095,HUMEROUS RIGHT AP/LATERAL,1945.0,2330.0
03-01-096,HYSTEROSALPINGOGRAPHY (HSG),7483.0,8970.0
03-01-097,INTERNAL AUDITORY MEATUS,966.0,1150.0
03-01-098,IVP,8205.0,9840.0
03-01-099,IVP DOUBLE DOSE,11437.0,13720.0
03-01-100,IVP WITH NIC DOUBLE DOSE,22785.0,27340.0
03-01-101,IVP with Ominipaque (Nonionic Study),15984.0,19180.0
03-01-102,KNEE JOINT AP PORTABLE,1468.0,1760.0
03-01-103,KNEE JOINT AP VIEW,966.0,1150.0
03-01-104,KNEE JOINT LAT PORTABLE,1468.0,1760.0
03-01-105,KNEE JOINT LAT VIEW,966.0,1150.0
03-01-106,KNEE JOINT LATERAL AP LATRAL,1945.0,2330.0
03-01-107,KNEE JOINT RT AP/LATERAL,1945.0,2330.0
03-01-108,KNEE SKYLINE VIEW,966.0,1150.0
03-01-109,KNEE TUNNEL VIEW,966.0,1150.0
03-01-110,KUB (CHILD 01 ΤΟ 11 YEAR) (ONE VIEW),966.0,1150.0
03-01-111,KUB (KIDNEY URETER BLADDER),966.0,1150.0
