Code,Description,Old_Rate,Revised_Rate
10-01-016,EXTRACTION ANTERIOR TEEΤΗ,696.0,830.0
10-01-008,CROWN PORCELAIN (PER VISIT),1920.0,2300.0
07-12-002,BIPAP/CPAP Circuit (Mask),13000.0,15600.0
10-01-063,X-RAY (Out Patient),592.0,710.0
10-01-041,RCT IN TWO VISITS WITH ROTARY (EACH VISIT),5899.0,7070.0
10-01-052,SCALING + POLISHING (PER VISIT),1030.0,1230.0
15-01-003,TYMPANOMETRY,1236.0,1480.0
07-08-012,COT Charges,824.0,980.0
07-08-003,NICU with Ventilator (1st Day),23377.0,28050.0
07-05-002,Major G/A-Neuro,109776.0,131730.0
07-12-004,Neb Kit,1500.0,1800.0
07-01-008,Minor G/A-Gynae,31698.0,38030.0
07-06-003,Cross Referral Visit (ICU/NICU/PICU),1159.0,1390.0
07-08-005,NICU without Vent & Oxygen,6556.0,7860.0
04-01-037,PNS Coronal View/Orbit Axial View (Any One Redion),9068.0,10880.0
07-12-013,Pajama for Patient,650.0,780.0
13-01-008,WORKUP FEES PLASTIC SURGEON,1275.0,1530.0
07-12-008,T-Piece Intersurgical,400.0,480.0
07-12-014,Stylet for Intubation,520.0,620.0
07-12-010,Mucus Extractor,105.0,120.0
10-01-034,PARTIAL DENTURE,900.0,1080.0
13-01-077,REMOVAL OF FOREIGN BODY,7260.0,8710.0
13-01-070,POLIO VACCINATION WITH CERTIFICATE,283.0,330.0
03-01-110,XUB (CHILD 01 TO 11 YEAR) (ONE VIEW),966.0,1150.0
07-12-015,Bougi-ETT Intubation,1300.0,1560.0
07-08-002,ICU without Ventilator,11901.0,14280.0
07-12-020,Surgi Silk 4/0,4100.0,4920.0
07-06-004,Cross Refferal Visit (S.Pvt./Pvt.),927.0,1110.0
07-12-022,Surgi Silk 6/0,8000.0,9600.0
07-12-023,Flow Sensor (PICU),8500.0,10200.0
10-01-040,RCT IN SINGLE VISIT WITH ROTARY,9827.0,11790.0
03-01-036-,CERVICAL SPINE OBLIQUE BOTH VIEW,1945.0,2330.0
01-01-033,DRESSINGOT-,1984.0,2380.0
07-05-003,Medium G/A-Neuro,75837.0,91000.0
07-05-004,Minor G/A-Neuro,53207.0,63840.0
04-01-021,CT Scan Triphasic Upper Abdomen.,20376.0,24450.0
02-01-011,GUIDED ASPIRATION PLURAL FLUID-CHEST,5989.0,7180.0
13-01-002,CIRCUMCISION (More Than 12 Months),6801.0,8160.0
13-01-037,ENDOSCOPY BANDING,37932.0,45510.0
13-01-001,CIRCUMCISION (Less Than 6 Months),3993.0,4790.0
07-01-004,D&E,26185.0,31420.0
07-12-007,Cath Mouth,775.0,930.0
13-01-093,SIGMOIDOSCOPY,10471.0,12560.0
07-08-009,PICU Bed Charges,4560.0,5470.0
07-08-007,NICU Incubator without Vent,4096.0,4910.0
04-01-003,Brain + Pituitary/Petrious Base,13601.0,16320.0
10-01-049,ROOT CANAL TREATMENT (SINGLE ROOTED),6234.0,7480.0
10-01-050,SCALING + GUM TREATMENT,4302.0,5160.0
07-07-005,Nursing & Service Charges - (Pvt.),2293.0,2750.0
07-07-006,Nursing & Service Charges - (S.Pvt.),1378.0,1650.0
07-07-040,Regional Block Charges,7483.0,8970.0
G0002,LIVER FUNCTION TEST (LFTS),1340.0,1600.0
G0003,FASTING LIPID PROFILE (FLP),1829.0,2190.0
G0004,"ELECTROLYTES (Na, K, CI, HCO3)",824.0,980.0
G0005,GTT (GLUCOSE TOLERANCE TEST),927.0,1110.0
G0006,ABGS (ARTERIAL BLOOD GASES),1623.0,1940.0
G0008,BLOOD PT (Prothrombin Time),502.0,600.0
G0010,ICT-MALARIA,1481.0,1770.0
G0012,DENGUE VIRUS IgM/IgG,2383.0,2850.0
G0014,M.P (MALARIAL PARASITE),386.0,460.0
G0015,CBC (Complete Blood Count/CP),927.0,1110.0
G0017,SERUM BILIRUBIN (TOTAL/DIRECT),554.0,660.0
G0028,APTT (ACTIVATED PARTIAL THROMBOPLASTIN TIME),850.0,1020.0
G0029,A/G RATIO,605.0,720.0
